full_name,university,age,study_hours,missed_classes,sleep_hours,shoe_size,grade
Noah Brown,Stanford University,26,4.322544912,1,7.751721607,46,53.22983452
Emma Miller,University of Oxford,25,2.27915635,5,6.904109857,43,8.443948274
Ava Davis,Stanford University,24,3.708863595,3,7.246090407,45,33.89207011
Mason Davis,Harvard University,24,1.540329876,6,5.051940964,41,0
Noah Garcia,University of Oxford,22,2.171813951,3,9.266124328,42,0
Noah Davis,ETH Zurich,22,3.696861236,4,6.802909618,42,26.63414184
Mason Brown,Massachusetts Institute of Technology,26,4.23846658,5,7.837104364,38,28.23963348
Noah Davis,University of Cambridge,20,3.671368281,8,5.996689996,40,4.578255872
Lucas Williams,University of Oxford,22,3.384351718,7,7.369611883,40,0
Isabella Miller,University of Cambridge,24,3.198896304,5,5.436586284,44,2.547103255
Lucas Davis,University of Cambridge,26,2.02147801,4,7.542481406,44,0
Sophia Johnson,University of Oxford,26,2.780155792,6,6.572831099,43,9.744444191
Elijah Davis,University of Oxford,23,3.039361229,8,7.035028605,44,0
Liam Smith,University of Melbourne,24,4.557122226,4,7.837568836,42,44.64760344
Mason Jones,ETH Zurich,18,3.84361829,3,5.520951627,44,27.23213224
Noah Brown,ETH Zurich,25,1.736959845,2,6.178609923,42,12.60135929
Mason Davis,ETH Zurich,23,3.824083969,3,7.548789137,42,44.31410677
Mason Smith,University of Oxford,21,3.11491772,9,9.517865769,41,0
Liam Jones,Stanford University,25,2.823078,5,6.834301198,43,12.57791149
Ava Wilson,ETH Zurich,24,4.111676289,4,7.709363342,41,26.25662637
Olivia Jones,Stanford University,22,4.530999522,7,6.871634236,44,32.44514004
Mason Williams,University of Oxford,26,4.431280119,8,9.330694714,40,0
Emma Johnson,Stanford University,24,2.660782477,4,4.903334,40,0
Sophia Martinez,University of Cambridge,18,3.190787624,4,7.113545254,43,24.02186873
Mason Johnson,Stanford University,25,3.831263431,8,5.04934716,42,0
Ava Williams,University of Toronto,23,4.475545127,5,3.992114115,41,0
Elijah Davis,University of Toronto,25,3.020825762,5,7.356954464,44,18.32164225
Olivia Miller,University of Cambridge,26,3.314341023,6,7.167397355,41,10.33740754
Emma Johnson,Harvard University,20,2.393665026,7,6.658195675,42,0
Olivia Jones,Massachusetts Institute of Technology,22,2.303793376,2,6.872567092,45,29.03527455
Ava Davis,University of Oxford,20,4.312525822,1,10,45,16.38987451
Ava Wilson,University of Toronto,25,4.856240029,7,6.690189834,45,28.32522783
Isabella Brown,Stanford University,22,3.427989878,5,7.612149234,41,17.3309323
Olivia Williams,University of Melbourne,19,4.503532898,4,6.220762216,44,47.38082151
Ava Martinez,Harvard University,22,3.861636025,4,7.35427909,40,30.18387822
Mason Davis,University of Melbourne,19,2.854880245,3,6.71411959,40,24.59356615
Ava Smith,University of Cambridge,20,3.861395606,8,6.507377821,37,5.11349333
Sophia Jones,Harvard University,24,5.038036566,7,9.182678239,45,11.53138967
Lucas Davis,Stanford University,26,3.464173961,1,8.412621956,40,40.0076783
Mason Williams,University of Toronto,26,5.064643656,2,7.164095977,42,65.71503764
Isabella Jones,Massachusetts Institute of Technology,23,0.880254896,4,4.234945677,40,0
Elijah Jones,University of Melbourne,24,4.321902504,6,6.566788932,43,30.56033881
Mason Brown,Massachusetts Institute of Technology,18,3.587047068,4,10,41,0
Mason Jones,University of Melbourne,25,3.20099265,6,6.723206,39,11.7370684
Sophia Jones,ETH Zurich,21,3.591760777,8,8.323861086,43,0
Liam Brown,ETH Zurich,26,1.512431085,7,8.730330882,39,0
Ava Smith,Stanford University,23,3.280328112,5,7.262756699,40,22.78129981
Liam Davis,University of Toronto,18,3.857112572,2,5.989814042,38,42.63019635
Olivia Davis,University of Cambridge,20,4.977894045,1,4.077625202,39,25.59732496
Ava Miller,Harvard University,19,2.981729782,7,7.82099585,42,0
Noah Martinez,Massachusetts Institute of Technology,18,2.691506397,4,6.022292797,38,14.01048923
Liam Jones,University of Cambridge,22,2.998242956,1,7.211380542,39,31.20759579
Isabella Miller,Stanford University,18,4.415402118,6,5.500215592,42,14.04942535
Sophia Garcia,University of Cambridge,20,3.82875111,5,6.681714951,41,20.69407764
Liam Wilson,Massachusetts Institute of Technology,21,2.970239796,8,7.040462866,46,1.616066117
Lucas Brown,University of Melbourne,19,4.013267433,5,7.322312297,46,23.135439
Mason Martinez,ETH Zurich,20,3.597077549,4,5.662213375,40,14.28506057
Ava Jones,University of Melbourne,20,4.468644991,10,8.436293139,43,0
Ava Jones,ETH Zurich,25,2.797946906,7,6.283726258,43,0
Ava Johnson,ETH Zurich,21,3.172337853,4,4.990636647,41,5.039371461
Emma Brown,University of Cambridge,20,3.107891847,8,6.869171896,39,5.575510962
Noah Miller,Stanford University,19,2.036485052,5,7.041250371,42,1.567176419
Lucas Miller,Massachusetts Institute of Technology,22,3.796120277,5,7.19270732,42,27.74456438
Emma Johnson,University of Oxford,22,3.761055272,5,8.634558884,41,13.50254809
Olivia Davis,University of Toronto,23,3.505113457,2,6.716261396,43,33.22392032
Noah Garcia,ETH Zurich,25,3.265412867,3,6.856456451,40,25.46261721
Elijah Johnson,University of Toronto,18,2.084629258,4,5.676178743,40,0
Noah Miller,Stanford University,25,3.079354677,9,7.984664203,42,0
Lucas Davis,Harvard University,25,3.157285483,0,7.221170877,43,44.9727139
Ava Martinez,Stanford University,23,2.697722731,5,6.495966727,40,6.015408066
Noah Davis,University of Oxford,20,3.338714288,5,4.714390368,44,0
Sophia Garcia,Harvard University,20,3.904050857,5,8.733294634,38,12.63476548
Ava Wilson,ETH Zurich,23,5.386185901,5,5.526784043,41,47.0718491
Sophia Williams,Harvard University,23,3.674577813,4,6.290466389,41,25.34097872
Elijah Brown,Massachusetts Institute of Technology,25,3.757550391,9,7.430013413,41,0
Emma Garcia,University of Melbourne,25,3.425554084,6,5.564130486,41,0
Olivia Johnson,Massachusetts Institute of Technology,24,1.581228785,2,5.207788266,46,0
Lucas Martinez,ETH Zurich,20,3.473486125,6,4.451262901,40,0
Sophia Davis,Harvard University,24,3.56023021,6,7.865196343,47,14.60953329
Emma Martinez,University of Oxford,18,5.963242112,6,6.345776506,43,47.74647544
Olivia Williams,Stanford University,21,3.307639035,5,10,42,0
Sophia Smith,University of Cambridge,24,3.801547342,2,5.806773921,43,32.39038164
Liam Martinez,University of Toronto,23,3.46528823,5,5.894258772,47,15.81352184
Mason Williams,Stanford University,24,2.331321962,3,6.321528436,40,9.475145508
Ava Johnson,Harvard University,19,4.642822815,3,7.291761586,40,48.63486919
Elijah Smith,University of Toronto,25,4.251933033,3,6.435755993,40,50.21593406
Isabella Garcia,Stanford University,21,4.291031947,6,7.734798657,42,32.41368352
Elijah Johnson,Massachusetts Institute of Technology,19,2.590612545,6,5.825693932,39,0
Elijah Johnson,Massachusetts Institute of Technology,24,4.902794311,4,5.342089938,42,39.30060967
Noah Garcia,Harvard University,19,2.098148937,5,4.842142313,45,0
Sophia Smith,Harvard University,23,4.086857094,5,4.331710998,42,0
Sophia Williams,Massachusetts Institute of Technology,20,5.690455626,7,6.378317177,41,43.30380467
Emma Brown,University of Melbourne,26,2.509463675,5,6.638823625,41,2.25140262
Elijah Jones,Stanford University,20,2.93370227,3,6.242275567,44,29.59266109
Isabella Martinez,Harvard University,22,3.599651365,4,8.492086957,40,11.17899738
Noah Johnson,University of Oxford,26,2.996524346,7,8.473636252,46,0
Sophia Garcia,Stanford University,21,1.949336569,5,6.598236415,46,0
Elijah Wilson,University of Melbourne,19,3.568562975,7,4.847294664,43,0
Isabella Davis,University of Toronto,22,2.437696286,8,6.31995387,42,0
Sophia Garcia,University of Cambridge,22,3.973592431,7,6.280214327,44,12.75320746
Elijah Smith,University of Melbourne,24,2.580575766,5,6.211438045,44,4.28708759
Sophia Williams,University of Cambridge,26,5.049934405,8,6.162737315,40,21.68930003
Lucas Garcia,University of Oxford,19,2.716746708,4,6.215844525,41,15.84111836
Elijah Smith,Harvard University,23,3.177938484,6,6.536150061,39,3.510279451
Sophia Davis,Stanford University,23,4.313517217,8,6.237350681,43,19.13509752
Sophia Johnson,University of Oxford,26,2.269135684,6,7.24998701,43,0
Isabella Miller,Massachusetts Institute of Technology,26,3.727459935,3,7.432442459,39,32.06921106
Liam Johnson,University of Oxford,22,4.807142754,8,5.907225895,41,19.52875005
Elijah Martinez,Stanford University,20,1.892516765,4,8.525278391,39,0
Lucas Johnson,ETH Zurich,20,3.684633859,7,5.823925238,40,2.562622901
Mason Jones,University of Toronto,23,3.759882794,2,5.058639263,43,24.89869089
Lucas Williams,University of Cambridge,22,4.281822872,10,7.456933686,41,0
Noah Miller,University of Cambridge,23,2.263049289,6,6.019110239,41,0
Isabella Johnson,ETH Zurich,19,2.179543387,4,7.385549765,39,0.094302018
Ava Jones,University of Toronto,23,4.021941566,5,4.115597679,42,0
Isabella Garcia,Harvard University,26,3.796984673,6,8.67094713,42,1.105279705
Mason Miller,University of Cambridge,23,3.75049285,4,7.80675209,41,33.20202858
Liam Garcia,Massachusetts Institute of Technology,21,3.846448209,5,5.199428141,42,10.33132711
Elijah Williams,University of Oxford,25,2.819975278,6,5.225467451,42,0
Liam Miller,University of Melbourne,20,3.732253697,3,9.006719085,40,20.57929357
Isabella Williams,University of Oxford,23,3.793072473,7,6.115144116,39,15.14666279
Liam Brown,Massachusetts Institute of Technology,25,2.785648582,7,5.998978182,46,0
Olivia Wilson,Massachusetts Institute of Technology,23,5.365774511,8,4.280737487,41,0
Olivia Wilson,University of Cambridge,24,3.973832921,4,6.579066153,42,41.29227882
Mason Smith,University of Melbourne,18,2.308696503,7,6.726736462,44,0
Sophia Garcia,University of Toronto,24,4.156553609,3,7.858591716,48,40.37369925
Isabella Garcia,University of Toronto,24,2.52531833,4,5.321105886,40,0
Elijah Williams,University of Oxford,19,4.287084604,4,5.175655849,43,19.87806582
Elijah Martinez,University of Melbourne,18,4.658595579,0,7.541155162,41,71.07271646
Elijah Garcia,University of Oxford,26,2.679317682,1,8.208076085,41,26.33536764
Isabella Wilson,University of Oxford,23,4.463376129,1,5.114617179,41,36.22486401
Lucas Davis,ETH Zurich,23,3.912780927,7,8.297816904,40,3.504896503
Elijah Davis,University of Cambridge,18,4.32206016,5,7.04505021,42,32.08358214
Emma Brown,University of Cambridge,25,5.396792983,5,8.310166407,39,41.91289258
Isabella Johnson,Stanford University,25,3.254611884,8,6.915735566,44,0
Sophia Brown,University of Toronto,20,2.746263836,3,3.973266499,42,0
Noah Jones,University of Melbourne,19,2.61048557,5,6.817639141,43,8.943559992
Mason Miller,Massachusetts Institute of Technology,20,2.684189715,3,8.272172582,41,12.62895636
Isabella Williams,Stanford University,24,3.422898291,5,5.927504777,41,19.11100437
Elijah Smith,Harvard University,19,3.841151975,1,6.534442037,43,41.60045107
Elijah Davis,University of Melbourne,26,3.776690799,7,6.788639796,40,11.2854865
Mason Garcia,Stanford University,20,4.327183249,2,3.520583344,41,0
Elijah Wilson,University of Melbourne,26,3.513001892,4,9.005617091,40,11.28909152
Sophia Davis,ETH Zurich,23,4.953534077,6,5.918349184,40,28.60572978
Ava Miller,University of Oxford,21,3.235343167,7,7.606882519,38,0
Olivia Brown,University of Melbourne,23,6,9,6.895958637,45,24.84271839
Mason Garcia,Harvard University,24,4.125667348,4,8.509142868,41,25.61096005
Sophia Smith,University of Cambridge,25,2.642842444,1,7.487267347,44,33.31078193
Mason Martinez,University of Melbourne,25,2.429107502,4,6.718090874,44,19.04745693
Liam Davis,Massachusetts Institute of Technology,24,3.982472415,6,5.927781889,39,16.47014208
Isabella Brown,Massachusetts Institute of Technology,24,3.276537215,3,7.957420842,40,17.40713402
Olivia Miller,Massachusetts Institute of Technology,21,4.214000494,4,4.751870435,47,17.57551411
Sophia Wilson,ETH Zurich,19,3.973237625,2,7.775068504,46,39.09946264
Elijah Jones,Massachusetts Institute of Technology,26,3.427171087,6,5.681146298,42,0.321705158
Mason Martinez,ETH Zurich,18,2.653206282,8,8.502740394,43,0
Liam Martinez,University of Cambridge,18,1.985152775,7,7.193559451,41,0
Lucas Brown,University of Cambridge,26,3.053485048,2,7.772948521,43,29.10550177
Liam Brown,Harvard University,24,4.356398794,6,7.098386577,41,15.91169411
Olivia Wilson,Massachusetts Institute of Technology,22,3.714093744,9,4.897147486,38,0
Noah Garcia,University of Toronto,20,2.254261221,3,5.967125004,39,8.055548263
Sophia Davis,University of Cambridge,18,3.673180926,8,7.806867205,42,4.373776825
Olivia Davis,Massachusetts Institute of Technology,18,3.88531738,7,7.199986981,40,5.526907564
Isabella Garcia,Harvard University,19,2.616142564,6,8.417187886,42,0
Mason Miller,University of Oxford,24,3.653725106,10,7.483929476,40,0
Olivia Jones,Harvard University,25,3.558208718,5,5.839957731,40,15.95346843
Olivia Garcia,University of Oxford,21,2.357029702,5,6.044723035,44,0
Lucas Miller,Stanford University,19,3.85778736,5,7.123500869,42,30.47575669
Olivia Johnson,ETH Zurich,24,4.060784526,5,4.223147121,42,0
Olivia Brown,Massachusetts Institute of Technology,22,4.583051243,4,9.008130263,44,28.88602364
Ava Garcia,University of Toronto,20,4.553802052,10,7.530096084,43,7.529794564
Elijah Wilson,Harvard University,26,2.122330632,3,8.472441516,45,8.301507443
Lucas Johnson,ETH Zurich,21,2.56217496,2,5.103275271,41,11.21073717
Noah Wilson,University of Melbourne,23,4.015035267,6,8.493478192,41,13.01519173
Noah Wilson,University of Toronto,18,4.013785951,4,9.677798693,39,0.421280489
Lucas Brown,ETH Zurich,25,4.015047686,4,5.414945974,41,18.71498195
Mason Brown,ETH Zurich,19,6,8,7.925682154,44,35.6089954
Ava Miller,Massachusetts Institute of Technology,20,4.070890511,5,7.001331934,45,41.72363918
Sophia Williams,University of Toronto,24,4.63556564,4,5.146679382,44,33.18504
Ava Smith,Stanford University,24,4.454001763,7,7.591460766,38,20.79347682
Lucas Smith,ETH Zurich,26,4.151391251,4,8.000323846,44,24.25885561
Elijah Brown,Stanford University,24,3.184730755,2,6.278648137,38,26.51184289
Mason Garcia,ETH Zurich,23,4.25896922,2,8.399099824,44,50.04610578
Sophia Williams,University of Melbourne,19,2.727174785,3,4.999883912,41,0
Sophia Garcia,ETH Zurich,20,3.263181393,3,5.206292624,43,11.6537527
Ava Johnson,Stanford University,19,3.014636452,8,7.163916875,39,0
Emma Davis,Harvard University,25,3.581874139,6,7.030462334,44,30.42958458
Emma Davis,University of Toronto,20,5.814658567,0,6.140111814,39,81.77397515
Elijah Brown,University of Melbourne,26,1.632734807,8,7.971513323,41,0
Emma Davis,University of Cambridge,20,4.18626019,5,7.637073177,40,29.17999168
Elijah Wilson,ETH Zurich,25,1.887284129,4,8.029766885,38,4.192178698
Ava Davis,ETH Zurich,26,3.028068134,5,6.852236278,42,11.1914137
Liam Brown,Massachusetts Institute of Technology,25,4.588950597,7,7.723096322,46,27.28903576
Lucas Smith,Harvard University,19,3.564280019,6,6.465219636,47,13.06580978
Lucas Smith,Stanford University,23,2.422255222,3,9.464582428,42,0
Isabella Martinez,University of Melbourne,25,2.784696291,4,6.024945076,44,14.63260357
Olivia Miller,University of Melbourne,20,4.179597749,2,9.526356915,42,21.83227736
Elijah Brown,Massachusetts Institute of Technology,26,2.769633368,4,7.041865537,43,12.61135025
Elijah Martinez,University of Melbourne,25,3.71645859,1,5.349386933,41,44.02331149
Mason Miller,University of Toronto,18,3.54557184,9,8.641695221,42,0
Noah Wilson,University of Melbourne,18,2.848399652,3,7.151081666,43,20.57500017
Sophia Martinez,University of Toronto,25,5.643944089,1,8.021348918,41,69.61479129
Sophia Miller,Harvard University,20,4.133919022,5,8.468627102,42,17.00344212
Sophia Brown,ETH Zurich,24,1.474857413,4,7.405546665,42,0
Liam Brown,Harvard University,25,3.686454315,6,6.289310986,44,14.42999674
Sophia Williams,Massachusetts Institute of Technology,20,2.838213535,5,8.170856053,40,9.879925219
Liam Jones,Massachusetts Institute of Technology,18,4.352433335,8,7.000906609,42,14.47590802
Isabella Garcia,ETH Zurich,20,2.707479262,5,7.823029382,46,9.513043708
Olivia Miller,University of Oxford,19,3.385263559,7,4.415523311,44,0
Mason Brown,Harvard University,23,4.004987279,4,7.53637806,45,28.73594975
Olivia Smith,University of Toronto,21,4.365755194,1,6.23369701,42,56.74358827
Liam Johnson,University of Melbourne,18,2.299703593,5,8.983971565,43,0
Elijah Smith,Harvard University,26,3.165498764,4,7.747704817,44,17.27882261
Lucas Johnson,Massachusetts Institute of Technology,18,3.025054689,3,7.287829295,45,21.95523845
Liam Miller,University of Melbourne,19,2.846670767,2,7.583571992,38,34.93565357
Liam Davis,University of Cambridge,21,5.26545424,12,5.801870977,39,0
Mason Williams,Massachusetts Institute of Technology,26,3.904981711,5,8.947908029,45,12.6561625
Sophia Johnson,University of Oxford,18,2.239116046,10,9.389644502,41,0
Noah Jones,University of Melbourne,20,4.417861947,6,7.471496213,41,27.11900877
Olivia Davis,Massachusetts Institute of Technology,20,5.622156197,1,8.908484282,39,56.33122261
Olivia Jones,Massachusetts Institute of Technology,21,4.532465261,6,6.317022162,41,35.77549564
Liam Brown,Massachusetts Institute of Technology,25,1.980630034,2,6.043463721,39,17.28939698
Ava Davis,University of Cambridge,21,3.015765927,4,7.049109698,46,16.82922843
Noah Jones,University of Toronto,23,4.766911149,5,7.521929246,42,43.19333286
Ava Smith,Massachusetts Institute of Technology,22,2.792330534,8,6.527215983,42,0
Lucas Johnson,University of Toronto,18,3.943819428,4,7.645321828,43,31.09568889
Isabella Jones,ETH Zurich,25,4.274634053,2,7.367667378,44,48.90092472
Liam Johnson,University of Toronto,19,2.573069528,1,5.80203187,44,30.29276833
Ava Johnson,University of Cambridge,25,3.440474644,8,7.622551621,44,1.291734727
Elijah Williams,University of Oxford,26,0.5,8,8.036233891,41,0
Isabella Brown,Stanford University,22,2.475612359,4,7.205763181,41,8.838022588
Isabella Johnson,University of Melbourne,19,3.247431849,1,8.383177724,44,34.11562876
Lucas Smith,Harvard University,25,2.252216818,9,5.539115448,41,0
Olivia Martinez,ETH Zurich,21,5.132411304,4,7.561540507,42,54.28022383
Lucas Martinez,University of Cambridge,23,2.069858622,2,5.595663152,43,8.39271643
Isabella Davis,Harvard University,19,3.059955513,4,5.66310237,44,14.4390276
Lucas Martinez,Stanford University,21,3.630740577,3,6.242883,38,30.63746386
Sophia Miller,Massachusetts Institute of Technology,19,4.941273289,8,5.86952778,43,14.78105299
Ava Johnson,University of Cambridge,23,2.064137849,9,6.342405018,42,0
Lucas Johnson,University of Melbourne,22,4.663163752,4,6.743019627,43,34.16598865
Mason Wilson,Massachusetts Institute of Technology,20,3.510233061,4,8.004585384,44,21.53037004
Noah Brown,Massachusetts Institute of Technology,20,2.518491349,5,6.614609154,45,5.24725677
Ava Johnson,ETH Zurich,26,3.962103474,11,5.097249152,45,0
Sophia Martinez,University of Cambridge,26,3.699059696,8,8.368081416,45,4.28949885
Sophia Williams,Stanford University,22,2.899783123,6,5.99549184,45,1.945928335
Mason Williams,University of Oxford,22,3.569802085,2,6.929535487,43,33.26299228
Elijah Brown,University of Melbourne,18,3.114686403,8,7.535843808,42,2.111153683
Sophia Davis,University of Oxford,25,3.613517345,7,7.239532502,44,7.780262237
Lucas Davis,University of Oxford,24,4.162130675,6,8.313015457,43,17.99445002
Ava Williams,University of Melbourne,24,5.086016816,5,7.574803772,41,46.08522243
Olivia Johnson,University of Melbourne,24,2.262184501,3,5.966428504,43,6.844962254
Lucas Jones,ETH Zurich,26,5.633033375,5,9.614274609,42,6.59190508
Olivia Davis,ETH Zurich,23,1.5479122,3,7.233200156,40,3.983132503
Isabella Johnson,University of Melbourne,23,3.348214905,3,6.823191728,45,31.9609767
Elijah Brown,Harvard University,24,4.088317206,7,8.156710508,42,12.38659938
Liam Wilson,University of Melbourne,23,3.780991868,4,7.299341135,46,31.70996337
Elijah Garcia,Harvard University,25,2.87730048,4,7.479073832,39,18.75050702
Isabella Wilson,University of Melbourne,25,3.29187775,6,9.990620798,41,0
Sophia Miller,ETH Zurich,26,3.006999065,6,6.669854286,42,8.650961991
Sophia Martinez,University of Oxford,22,2.910635243,3,6.618686927,44,20.47709647
Emma Davis,University of Cambridge,25,4.349602097,4,7.139894214,43,39.87763751
Ava Garcia,University of Cambridge,25,3.857015486,6,8.285819123,43,13.67514417
Emma Brown,Harvard University,18,2.807090405,6,5.192159164,40,0
Elijah Williams,ETH Zurich,23,4.399599875,6,4.64133293,40,0.798936782
Isabella Miller,University of Cambridge,18,3.807299521,6,6.295461675,43,13.50253242
Emma Williams,ETH Zurich,18,4.312862119,3,5.039292449,39,26.57562274
Ava Brown,University of Cambridge,20,4.129628842,5,6.490202383,41,30.16638086
Emma Martinez,University of Toronto,19,2.671004989,2,7.602999635,43,23.75539367
Lucas Smith,Stanford University,20,2.93981896,5,5.931101364,40,0.667906142
Liam Garcia,University of Cambridge,18,4.247293605,3,5.287808108,45,26.03402093
Mason Miller,Harvard University,23,4.110370265,3,7.083204594,44,47.67353366
Mason Smith,Harvard University,21,3.479098406,5,8.035052182,39,16.83213536
Noah Miller,University of Oxford,19,3.617327383,11,4.966031874,40,0
Isabella Williams,University of Cambridge,18,4.777664896,7,7.984278878,37,32.80247655
Noah Johnson,Harvard University,24,2.908428611,7,7.980767444,40,0
Emma Williams,University of Toronto,21,4.047097381,4,8.144902123,44,35.36370291
Elijah Garcia,ETH Zurich,26,3.297807348,1,8.462176258,41,32.02794849
Elijah Wilson,University of Oxford,20,3.282318797,4,9.64241671,43,0
Lucas Garcia,University of Toronto,22,4.598776852,5,6.572689542,39,47.66898149
Noah Wilson,University of Melbourne,20,4.325416349,4,7.131485896,44,44.68724391
Olivia Brown,University of Oxford,18,4.313509636,4,6.50027388,41,39.64439752
Emma Brown,University of Cambridge,26,4.805478807,7,7.002372214,42,21.30398954
Ava Johnson,ETH Zurich,18,3.521003842,6,8.839448027,42,0
Elijah Garcia,Massachusetts Institute of Technology,24,4.181952971,8,5.385982619,39,7.040153498
Liam Garcia,Stanford University,26,3.189733243,4,5.966740393,40,16.24731478
Olivia Miller,University of Oxford,18,3.824166352,3,8.652617124,44,29.88265628
Lucas Williams,ETH Zurich,24,3.369856946,0,8.224043808,43,40.5997425
Elijah Miller,Stanford University,24,3.596995965,4,6.564242024,44,35.24380575
Liam Miller,University of Melbourne,25,4.095157025,1,8.025282401,43,45.72175607
Noah Garcia,Harvard University,26,2.681779317,4,7.409459011,42,8.29859149
Lucas Garcia,University of Oxford,20,5.592387276,3,8.800329531,39,49.37386546
Lucas Wilson,Massachusetts Institute of Technology,24,2.493982619,5,7.089411513,41,11.20177662
Emma Johnson,University of Toronto,26,2.285811387,6,8.230758537,42,0
Emma Wilson,University of Toronto,22,4.658110874,6,10,46,0
Isabella Martinez,University of Melbourne,21,4.291662694,4,7.717718986,43,42.72475819
Isabella Jones,Massachusetts Institute of Technology,22,4.124119817,4,7.059193799,45,36.79279067
Noah Jones,Massachusetts Institute of Technology,20,4.128345509,5,7.866936382,43,24.05795977
Elijah Smith,Stanford University,20,3.487753227,1,6.56166297,41,41.47937158
Noah Johnson,ETH Zurich,19,2.602745629,9,9.865561247,42,0
Olivia Johnson,University of Melbourne,20,3.575804558,7,7.216085245,42,14.79299418
Noah Miller,Stanford University,26,2.822838288,5,6.672480016,40,4.148146477
Emma Johnson,ETH Zurich,23,4.475119733,4,5.997173194,41,33.12486463
Ava Smith,ETH Zurich,22,3.352942618,5,8.31666423,42,16.20465165
Olivia Jones,ETH Zurich,25,2.674502803,4,8.040624895,45,6.362412754
Elijah Johnson,ETH Zurich,23,3.178614158,1,6.403174754,38,36.81385104
Isabella Wilson,ETH Zurich,21,3.912931454,3,7.691741614,44,29.60808019
Isabella Martinez,University of Oxford,21,2.936275447,7,5.189732838,40,0
Noah Jones,Harvard University,19,2.677779604,6,7.22196469,39,0
Mason Jones,Stanford University,19,3.743687211,10,7.543307622,44,1.958296436
Ava Smith,Massachusetts Institute of Technology,22,3.744966571,4,9.048795771,43,20.34473385
Olivia Smith,Massachusetts Institute of Technology,19,2.993056825,5,6.075017437,45,13.3588021
Emma Davis,ETH Zurich,26,3.028961694,6,5.465976845,44,1.225402543
Noah Jones,Harvard University,23,3.732049937,6,5.925486447,46,14.10992048
Ava Johnson,University of Melbourne,26,2.051915659,8,5.3961178,43,0
Isabella Smith,ETH Zurich,18,2.092536226,4,8.603988829,42,0
Ava Garcia,University of Melbourne,23,2.781555779,3,8.858367154,43,17.0740479
Liam Davis,University of Melbourne,20,3.286552848,3,7.384259894,44,33.23761695
Noah Brown,University of Oxford,22,3.810907566,9,8.465553935,40,0
Olivia Miller,University of Oxford,23,4.975356217,7,7.160750057,41,30.54905917
Liam Smith,University of Melbourne,20,4.357659623,2,6.885866023,41,51.52212082
Elijah Jones,ETH Zurich,23,3.34006147,2,6.600354857,38,41.78398049
Noah Williams,University of Cambridge,20,3.480983792,4,6.62753081,42,34.27955973
Elijah Wilson,University of Melbourne,23,2.497470635,6,5.142638132,38,0
Sophia Garcia,Stanford University,22,3.481486864,9,7.317105716,42,0
